# Date:     2022-12-06 07:16:37
# Database: ocvs
# Target:   smc_cepheids
# Query:    TRUE 
# Objects:  4951
# Columns:
# ID	Mode	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	REMARKS
OGLE-SMC-CEP-0589	F	11.000835	-73.991806	17.097	17.745	0.648	1.4496296	0.0000012	6000.64713	0.613	0.483	4.182	0.334	2.148	-99.99	SMC128.2.9316	SMC720.13.289	-99.99	
OGLE-SMC-CEP-0590	1	11.004705	-73.095472	16.144	16.807	0.663	1.8326477	0.0000086	6001.27802	0.229	0.095	5.133	0.026	4.537	SMC_SC3_148843	SMC125.4.36491	SMC719.07.252	-99.99	
OGLE-SMC-CEP-0591	1	11.006505	-73.353667	15.510	16.169	0.659	2.9833114	0.0000192	6002.01350	0.117	0.106	3.784	0.000	-99.99	SMC_SC3_130235	SMC125.2.34673	SMC720.30.146	-99.99	
OGLE-SMC-CEP-0592	1	11.006790	-73.397139	16.880	17.499	0.619	1.1495349	0.0000028	6001.12250	0.298	0.196	4.447	0.070	2.529	SMC_SC3_125903	SMC125.2.34906	SMC720.30.647	-99.99	
OGLE-SMC-CEP-0593	1	11.007495	-73.465361	16.278	16.969	0.691	1.7839345	0.0000071	6000.08552	0.198	0.130	4.929	0.020	-99.99	SMC_SC3_122174	SMC125.2.6207	SMC720.22.18352	-99.99	
OGLE-SMC-CEP-0594	F	11.007540	-73.140528	16.863	17.541	0.678	1.6716472	0.0000016	6000.36022	0.711	0.494	4.172	0.357	2.239	SMC_SC3_148864	SMC125.4.7033	SMC720.30.34340	-99.99	
OGLE-SMC-CEP-0595	F	11.013000	-72.920472	16.992	17.604	0.612	1.4008174	0.0000019	6000.89463	0.388	0.442	4.242	0.256	2.250	SMC_SC3_161229	SMC126.1.552	SMC719.07.30181	-99.99	
OGLE-SMC-CEP-0596	F	11.013090	-73.277056	16.282	17.170	0.888	3.0716983	0.0000083	6002.92976	0.400	0.456	4.618	0.235	3.042	SMC_SC3_134576	SMC125.3.7286	SMC720.30.33453	-99.99	
OGLE-SMC-CEP-0597	F	11.013285	-73.208278	16.504	17.180	0.676	1.9693619	0.0000066	6001.10771	0.204	0.329	4.340	0.107	2.645	SMC_SC3_139465	SMC125.3.41442	SMC720.30.34051	-99.99	
OGLE-SMC-CEP-0598	F	11.014380	-73.265528	16.413	17.161	0.748	2.4735444	0.0000094	6001.58559	0.204	0.313	4.477	0.112	2.738	SMC_SC3_139412	SMC125.3.7287	SMC720.30.33479	-99.99	
OGLE-SMC-CEP-0599	1	11.014875	-73.103861	16.403	16.961	0.558	1.2945555	0.0000039	6000.61124	0.259	0.177	4.387	0.046	2.634	SMC_SC3_148834	SMC125.4.6871	SMC719.07.238	-99.99	
OGLE-SMC-CEP-0600	1	11.015205	-72.659306	16.832	17.344	0.512	0.9551112	0.0000012	6000.54597	0.363	0.275	4.254	0.086	2.255	-99.99	SMC126.3.360	SMC719.15.19669	-99.99	
OGLE-SMC-CEP-0601	1	11.015670	-74.169278	17.657	18.271	0.614	0.7230107	0.0000019	6000.46679	0.219	0.198	3.718	0.120	1.303	-99.99	SMC128.1.8918	SMC720.05.8299	-99.99	
OGLE-SMC-CEP-0602	F	11.016000	-72.952167	16.689	17.438	0.749	2.1475007	0.0000048	6000.20365	0.331	0.426	4.458	0.216	2.793	SMC_SC3_161100	SMC126.1.556	SMC719.07.30079	-99.99	
OGLE-SMC-CEP-0603	1	11.017170	-72.589583	16.366	16.853	0.487	1.1951262	0.0000016	6000.33835	0.345	0.263	4.316	0.092	2.288	-99.99	SMC126.3.364	SMC719.15.19604	-99.99	
OGLE-SMC-CEP-0604	F	11.018745	-73.260500	16.469	17.187	0.718	2.1757762	0.0000022	6001.66290	0.778	0.535	4.235	0.355	2.440	SMC_SC3_139415	SMC125.3.7458	SMC720.30.33824	-99.99	
OGLE-SMC-CEP-0605	1	11.018745	-73.377833	16.637	17.208	0.571	1.1758623	0.0000026	6001.07727	0.259	0.199	4.591	0.065	2.900	SMC_SC3_130248	SMC125.2.34915	SMC720.30.713	-99.99	
OGLE-SMC-CEP-0606	F	11.019120	-72.934667	17.096	17.689	0.593	1.3183040	0.0000011	6000.51895	0.742	0.474	4.138	0.327	2.019	SMC_SC3_161207	SMC126.1.559	SMC719.07.30139	-99.99	
OGLE-SMC-CEP-0607	F	11.019915	-73.086000	16.430	17.014	0.584	1.9099091	0.0000014	6001.15802	0.766	0.503	4.117	0.307	2.106	SMC_SC3_152913	SMC125.4.36640	SMC719.07.646	LV14	
OGLE-SMC-CEP-0608	F	11.023455	-73.044333	16.342	16.873	0.531	2.0266061	0.0000020	6000.97526	0.612	0.533	4.283	0.363	2.492	SMC_SC3_152954	SMC125.4.36497	SMC719.07.329	LV15	
OGLE-SMC-CEP-0609	F	11.024040	-73.178083	16.724	17.428	0.704	1.7673241	0.0000017	6000.29900	0.745	0.506	4.183	0.361	2.247	SMC_SC3_144425	SMC125.3.41447	SMC720.30.34173	-99.99	
OGLE-SMC-CEP-0610	1	11.026455	-73.405389	16.697	17.349	0.652	1.5547744	0.0000037	6000.78426	0.332	0.181	4.215	0.000	-99.99	SMC_SC3_126003	SMC125.2.6341	SMC720.30.616	-99.99	
OGLE-SMC-CEP-0611	1	11.039625	-73.013306	15.990	16.510	0.520	1.5496280	0.0000023	6000.34750	0.318	0.197	4.424	0.043	3.400	SMC_SC3_157108	SMC126.1.223	SMC719.07.386	LV13	
OGLE-SMC-CEP-0612	1	11.043330	-72.803528	16.372	17.039	0.667	1.4957719	0.0000059	6000.80543	0.184	0.094	4.857	0.050	-99.99	-99.99	SMC126.2.454	SMC719.15.99	-99.99	
OGLE-SMC-CEP-0613	F	11.043660	-73.475583	15.560	16.440	0.880	4.8322805	0.0000376	6003.20617	0.138	0.200	4.900	0.026	3.819	SMC_SC3_122134	SMC125.2.6211	SMC720.22.18150	-99.99	
OGLE-SMC-CEP-0614	F	11.044410	-72.745083	17.304	17.882	0.578	1.3130017	0.0000011	6000.95520	0.763	0.471	4.248	0.337	2.175	SMC_SC3_172477	SMC126.2.1138	SMC719.15.430	-99.99	
OGLE-SMC-CEP-0615	F	11.046465	-73.627111	17.216	17.838	0.622	1.2054368	0.0000014	6001.08360	0.491	0.441	4.172	0.287	1.996	SMC_SC3_113282	SMC128.4.18163	SMC720.22.554	-99.99	
OGLE-SMC-CEP-0616	F	11.049915	-74.363000	16.679	17.264	0.585	1.6176572	0.0000012	6000.65606	0.804	0.492	4.417	0.358	2.514	-99.99	SMC129.3.4109	SMC720.05.149	-99.99	
OGLE-SMC-CEP-0617	F	11.052120	-73.495028	17.779	18.428	0.649	0.9946820	0.0000019	6000.34780	0.583	0.366	3.725	0.291	1.320	-99.99	SMC125.1.31466	SMC720.22.19724	-99.99	
OGLE-SMC-CEP-0618	1	11.053290	-73.098972	16.203	16.786	0.583	1.5932690	0.0000039	6001.30094	0.298	0.211	4.277	0.020	2.863	SMC_SC3_148839	SMC125.4.43707	SMC719.07.245	-99.99	
OGLE-SMC-CEP-0619	F	11.059455	-73.126000	16.817	17.551	0.734	1.8111450	0.0000053	6000.41428	0.479	0.482	4.313	0.305	2.535	SMC_SC3_148895	SMC125.4.14671	SMC719.07.488	-99.99	
OGLE-SMC-CEP-0620	F	11.061585	-73.348833	14.715	15.568	0.853	7.7218306	0.0000352	6006.87614	0.318	0.348	5.434	0.090	4.032	SMC_SC3_130215	SMC125.2.42458	SMC720.30.148	HV1393	
OGLE-SMC-CEP-0621	F	11.063955	-73.193861	17.087	17.744	0.657	1.4752050	0.0000043	6001.07991	0.520	0.465	4.237	0.317	2.267	SMC_SC3_144499	SMC125.3.49470	SMC720.30.34112	-99.99	
OGLE-SMC-CEP-0622	1	11.066370	-73.398611	14.913	15.589	0.676	3.9738069	0.0000242	6000.80692	0.115	0.087	3.681	0.000	-99.99	SMC_SC3_125833	SMC125.2.42459	SMC720.30.95	-99.99	
OGLE-SMC-CEP-0623	1	11.071080	-73.947944	16.595	17.135	0.540	1.2057309	0.0000018	6001.12651	0.352	0.251	4.287	0.085	2.260	-99.99	SMC128.2.9340	SMC720.13.348	-99.99	secondary period 0.737977 d
OGLE-SMC-CEP-0624	F	11.071410	-74.232250	16.345	16.939	0.594	2.0606896	0.0000022	6001.54480	0.745	0.546	4.249	0.376	2.426	-99.99	SMC129.4.5428	SMC720.05.133	-99.99	
OGLE-SMC-CEP-0625	1	11.074380	-73.202667	16.447	17.030	0.583	1.3370962	0.0000018	6000.61603	0.330	0.241	4.427	0.088	2.607	SMC_SC3_144396	SMC125.3.49478	SMC720.30.33596	-99.99	
OGLE-SMC-CEP-0626	1	11.077290	-73.589500	15.701	16.368	0.667	2.3081797	0.0000109	6001.49372	0.199	0.038	4.847	0.020	0.087	SMC_SC3_115826	SMC125.1.9686	SMC720.22.18179	HV1395	
OGLE-SMC-CEP-0627	F	11.078460	-73.213556	16.981	17.663	0.682	1.4891608	0.0000012	6001.44676	0.687	0.480	4.172	0.344	2.110	SMC_SC3_139460	SMC125.3.49481	SMC720.30.34036	-99.99	
OGLE-SMC-CEP-0628	1	11.079660	-73.138639	16.078	16.748	0.670	1.8412335	0.0000050	6001.41134	0.290	0.137	4.590	0.021	4.497	SMC_SC3_148792	SMC125.4.14590	SMC720.30.33722	-99.99	
OGLE-SMC-CEP-0629	1	11.086080	-73.849917	17.816	18.450	0.634	0.6705289	0.0000021	6000.54940	0.220	0.173	3.432	0.108	0.946	-99.99	SMC128.3.13074	SMC720.13.12983	-99.99	
OGLE-SMC-CEP-0630	F	11.086830	-73.199667	16.854	17.514	0.660	1.5566339	0.0000026	6001.21154	0.345	0.386	4.213	0.234	2.201	SMC_SC3_144487	SMC125.3.49487	SMC720.30.34092	-99.99	
OGLE-SMC-CEP-0631	1	11.087205	-73.756750	15.760	16.368	0.608	2.3467083	0.0000090	6000.29156	0.265	0.075	4.427	0.035	5.329	-99.99	SMC128.4.17950	SMC720.13.12467	-99.99	
OGLE-SMC-CEP-0632	12	11.088660	-72.542833	17.282	17.842	0.560	0.7053816	0.0000012	6000.19472	0.279	0.245	3.798	0.112	1.499	-99.99	SMC126.4.785	SMC719.15.20555	-99.99	
OGLE-SMC-CEP-0633	F	11.088630	-73.078417	16.945	17.644	0.699	1.5789977	0.0000019	6001.30056	0.558	0.477	4.195	0.335	2.221	SMC_SC3_152988	SMC125.4.43802	SMC719.07.685	-99.99	
OGLE-SMC-CEP-0634	1	11.089665	-73.405250	15.894	16.595	0.701	2.2421992	0.0000117	6000.08953	0.211	0.055	5.279	0.019	4.970	SMC_SC3_125900	SMC125.2.13229	SMC720.30.255	-99.99	secondary period 1.392554 d
OGLE-SMC-CEP-0635	1	11.098080	-73.482639	16.021	16.693	0.672	1.8569051	0.0000058	6000.57334	0.226	0.158	4.810	0.028	3.617	SMC_SC3_122162	SMC125.1.31293	SMC720.22.18326	-99.99	secondary period 2.188519 d
OGLE-SMC-CEP-0636	1	11.098830	-72.696361	17.175	17.672	0.497	0.8677575	0.0000011	6000.11564	0.400	0.312	4.192	0.098	2.011	-99.99	SMC126.3.985	SMC719.15.546	-99.99	secondary period 0.533189 d
OGLE-SMC-CEP-0637	F	11.098875	-72.783944	16.418	17.125	0.707	2.1600815	0.0000047	6002.11457	0.330	0.419	4.462	0.196	2.817	SMC_SC3_172382	SMC126.2.489	SMC719.15.128	-99.99	
OGLE-SMC-CEP-0638	F	11.100000	-73.275500	17.158	18.058	0.900	1.6803601	0.0000017	6000.26336	0.656	0.506	4.202	0.366	2.302	SMC_SC3_134578	SMC125.3.16008	SMC720.30.33762	-99.99	
OGLE-SMC-CEP-0639	1	11.102955	-73.318389	17.221	17.937	0.716	1.0384800	0.0000016	6000.37379	0.338	0.248	4.345	0.089	2.327	SMC_SC3_134607	SMC125.3.16009	SMC720.30.992	-99.99	
OGLE-SMC-CEP-0640	F	11.106045	-74.413861	17.601	18.260	0.659	1.0733285	0.0000009	6000.39365	0.494	0.408	3.960	0.281	1.645	-99.99	SMC129.3.4237	SMC721.27.5630	-99.99	
OGLE-SMC-CEP-0641	F	11.106750	-72.766667	16.504	17.113	0.609	1.9349573	0.0000015	6001.30629	0.734	0.517	4.279	0.367	2.458	SMC_SC3_172452	SMC126.2.502	SMC719.15.147	HV1390	
OGLE-SMC-CEP-0642	1	11.108910	-73.263444	16.845	17.452	0.607	1.0301054	0.0000023	6000.61221	0.243	0.220	4.257	0.052	2.197	SMC_SC3_139480	SMC125.3.16013	SMC720.30.33817	-99.99	
OGLE-SMC-CEP-0643	F	11.109420	-74.043389	17.473	18.071	0.598	1.1327172	0.0000011	6000.13477	0.706	0.435	3.993	0.296	1.764	-99.99	SMC128.2.9355	SMC720.13.475	-99.99	
OGLE-SMC-CEP-0644	F	11.111205	-73.379444	15.182	16.088	0.906	6.3004715	0.0000139	6002.43444	0.586	0.462	4.811	0.208	3.266	SMC_SC3_130223	SMC125.2.42466	SMC720.30.115	HV1394	
OGLE-SMC-CEP-0645	1	11.111250	-73.563250	17.434	18.111	0.677	0.8562092	0.0000023	6000.67938	0.230	0.235	3.975	0.063	1.662	SMC_SC3_115944	SMC125.1.9867	SMC720.22.19169	-99.99	
OGLE-SMC-CEP-0646	1	11.111295	-73.091528	16.552	17.180	0.628	1.2781634	0.0000020	6001.07543	0.340	0.258	4.354	0.090	2.315	SMC_SC3_148846	SMC125.4.43809	SMC719.07.627	-99.99	
OGLE-SMC-CEP-0647	F	11.111880	-72.851000	16.091	16.735	0.644	2.5775065	0.0000031	6000.35825	0.741	0.542	4.399	0.339	2.592	SMC_SC3_168962	SMC126.2.191	SMC719.07.29895	HV1391	
OGLE-SMC-CEP-0648	1	11.112705	-72.893917	16.385	17.035	0.650	1.4967604	0.0000075	6000.39387	0.174	0.162	4.718	0.053	3.621	-99.99	SMC126.1.630	SMC719.07.29827	-99.99	
OGLE-SMC-CEP-0649	1	11.113500	-73.279833	18.091	18.870	0.779	0.5822675	0.0000016	6000.11596	0.246	0.188	3.265	0.163	1.058	SMC_SC3_135027	SMC125.3.16246	SMC720.30.34426	-99.99	
OGLE-SMC-CEP-0650	F	11.114505	-72.896000	16.851	17.543	0.692	1.7530097	0.0000029	6001.07936	0.445	0.462	4.309	0.308	2.554	SMC_SC3_165218	SMC126.1.18863	SMC719.07.30267	-99.99	
OGLE-SMC-CEP-0651	F	11.118330	-73.456778	15.229	16.065	0.836	5.7946657	0.0001229	6002.59902	0.072	0.126	5.242	0.000	-99.99	SMC_SC3_122139	SMC125.2.13201	SMC720.22.18167	-99.99	
OGLE-SMC-CEP-0652	F	11.118330	-72.790278	16.685	17.310	0.625	1.5615305	0.0000018	6000.45327	0.465	0.457	4.208	0.322	2.253	-99.99	SMC126.2.15755	SMC719.15.319	-99.99	
OGLE-SMC-CEP-0653	12	11.118960	-73.475028	17.390	17.987	0.597	0.7405562	0.0000015	6000.73479	0.288	0.256	3.994	0.120	1.809	-99.99	SMC125.2.13544	SMC720.22.18752	-99.99	
OGLE-SMC-CEP-0654	F	11.120835	-73.384833	17.104	17.737	0.633	1.3719572	0.0000012	6000.76707	0.683	0.491	4.161	0.338	2.080	SMC_SC3_130299	SMC125.2.42614	SMC720.30.687	-99.99	
OGLE-SMC-CEP-0655	12	11.121585	-73.561972	17.272	17.830	0.558	0.7852612	0.0000013	6000.46205	0.344	0.294	3.909	0.111	1.810	-99.99	SMC125.1.9879	SMC720.22.18497	-99.99	
OGLE-SMC-CEP-0656	1	11.121660	-73.669361	17.427	17.939	0.512	0.7944641	0.0000013	6000.14159	0.338	0.253	4.044	0.063	1.924	SMC_SC3_113237	SMC128.4.18817	SMC720.22.455	-99.99	
OGLE-SMC-CEP-0657	1	11.123880	-73.002000	16.077	16.711	0.634	1.7570648	0.0000076	6001.13336	0.237	0.121	4.854	0.016	3.720	-99.99	SMC126.1.18867	SMC719.07.406	-99.99	
OGLE-SMC-CEP-0658	F	11.127495	-73.971972	14.563	15.456	0.893	10.4305741	0.0001338	6005.46082	0.171	0.110	1.414	0.059	0.734	-99.99	SMC128.2.9127	SMC720.13.13	HV1402	
OGLE-SMC-CEP-0659	F	11.127915	-73.901583	16.574	17.339	0.765	1.7986924	0.0000028	6001.29612	0.399	0.503	4.234	0.366	2.398	-99.99	SMC128.3.12737	SMC720.13.12473	-99.99	
OGLE-SMC-CEP-0660	F	11.128710	-72.448000	16.526	16.981	0.455	1.4390218	0.0000009	6001.32377	0.700	0.484	4.046	0.316	1.946	-99.99	SMC126.4.9869	SMC719.24.229	HV1389	
OGLE-SMC-CEP-0661	F	11.128920	-72.826194	17.043	-99.99	-99.99	1.4688377	0.0000007	6000.16946	0.423	0.441	4.352	0.279	2.195	SMC_SC3_169049	SMC126.2.15762	SMC719.15.1227D	-99.99	
OGLE-SMC-CEP-0662	F	11.137215	-72.810917	16.931	17.633	0.702	1.5793803	0.0000025	6001.44905	0.399	0.427	4.272	0.293	2.374	SMC_SC3_169067	SMC126.2.15770	SMC719.15.269	-99.99	
OGLE-SMC-CEP-0663	1	11.137245	-73.326056	16.437	17.038	0.601	1.4121361	0.0000025	6001.27160	0.302	0.197	4.394	0.062	3.147	SMC_SC3_130297	SMC125.3.16025	SMC720.30.407	-99.99	
OGLE-SMC-CEP-0664	1	11.140455	-73.553806	17.189	17.769	0.580	0.9967742	0.0000035	6000.35407	0.424	0.317	4.347	0.115	2.066	-99.99	SMC125.1.31550	SMC720.22.19235	-99.99	
OGLE-SMC-CEP-0665	1	11.140965	-72.756306	15.969	16.523	0.554	1.6962919	0.0000028	6000.62630	0.330	0.208	4.446	0.045	3.260	SMC_SC3_172402	SMC126.2.15598	SMC719.15.156	HV1392	
OGLE-SMC-CEP-0666	1	11.143380	-73.277167	16.684	17.360	0.676	1.2591613	0.0000021	6001.04716	0.308	0.230	4.253	0.079	2.378	SMC_SC3_134704	SMC125.3.16028	SMC720.30.33756	-99.99	secondary period 0.773196 d
OGLE-SMC-CEP-0667	1	11.145750	-72.900500	14.939	15.624	0.685	4.3367004	0.0000184	6001.98417	0.263	0.230	4.691	0.099	2.744	SMC_SC3_165173	SMC126.1.18627	SMC719.07.29641	-99.99	
OGLE-SMC-CEP-0668	F	11.157870	-73.136889	14.411	15.170	0.759	8.0605223	0.0000247	6003.00367	0.584	0.392	4.981	0.205	3.015	SMC_SC3_148748	SMC125.4.14530	SMC720.30.33305	HV1396	
OGLE-SMC-CEP-0669	F	11.158620	-73.466778	16.932	17.666	0.734	1.6384967	0.0000028	6000.01660	0.387	0.424	4.289	0.264	2.396	SMC_SC3_122249	SMC125.2.13342	SMC720.22.18789	-99.99	
OGLE-SMC-CEP-0670	F	11.158665	-73.046583	16.475	17.145	0.670	1.9876794	0.0000029	6000.83182	0.493	0.506	4.345	0.314	2.591	SMC_SC3_152951	SMC125.4.43830	SMC719.07.816	HV11247	
OGLE-SMC-CEP-0671	F	11.158830	-74.022528	17.617	18.259	0.642	1.0984353	0.0000012	6000.56763	0.588	0.456	4.096	0.293	1.848	-99.99	SMC128.2.9754	SMC720.13.595	-99.99	
OGLE-SMC-CEP-0672	F	11.165205	-73.263306	14.580	15.451	0.871	8.8806413	0.0002382	6004.32105	0.062	0.088	0.164	0.000	-99.99	SMC_SC3_139369	SMC125.3.15813	SMC720.30.33257	-99.99	
OGLE-SMC-CEP-0673	1	11.170710	-73.363361	16.436	16.942	0.506	1.1920687	0.0000019	6000.32273	0.326	0.238	4.408	0.074	2.359	SMC_SC3_130259	SMC125.2.42653	SMC720.30.323	-99.99	
