# Date:     2022-12-06 07:19:44
# Database: ocvs
# Target:   smc_rrlyr
# Query:    TRUE 
# Objects:  6786
# Columns:
# ID	Type	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	REMARKS
OGLE-SMC-RRLYR-1681	RRab	15.409995	-71.766417	19.215	19.836	0.621	0.60648920	0.00000310	6000.45942	0.447	0.346	4.160	0.180	1.844	-99.99	SMC114.8.2204	SMC725.24.3851	-99.99	
OGLE-SMC-RRLYR-1682	RRab	15.419205	-71.588944	18.932	-99.99	-99.99	0.57853660	0.00000060	6000.19405	0.611	0.406	4.204	0.372	1.897	-99.99	SMC114.7.2088	SMC718.08.773D	-99.99	
OGLE-SMC-RRLYR-1683	RRab	15.420330	-72.935083	19.423	20.023	0.600	0.48133220	0.00000190	6000.39129	0.482	0.372	4.278	0.198	2.424	SMC_SC9_53865	SMC105.1.34775	SMC726.22.32734	-99.99	
OGLE-SMC-RRLYR-1684	RRab	15.428160	-73.452556	19.577	19.936	0.359	0.60131400	0.00000140	6000.21733	0.569	0.244	-99.99	0.238	2.048	-99.99	SMC106.2.16273	SMC726.05.6352D	-99.99	
OGLE-SMC-RRLYR-1685	RRab	15.432750	-71.872750	19.317	19.968	0.651	0.67385540	0.00000430	6000.11192	0.293	0.382	4.581	0.228	3.395	-99.99	SMC113.5.17484	SMC725.24.2751	-99.99	
OGLE-SMC-RRLYR-1686	RRab	15.433500	-71.357361	16.870	17.298	0.428	0.47497380	0.00000010	6000.26582	0.837	0.479	4.042	0.366	2.004	-99.99	SMC114.5.171	SMC725.32.6964	HV12949	
OGLE-SMC-RRLYR-1687	RRab	15.434955	-72.725778	19.025	19.621	0.596	0.63487730	0.00000260	6000.44382	0.379	0.316	4.431	0.343	2.464	SMC_SC9_62341	SMC110.6.1231	SMC726.30.4088	-99.99	
OGLE-SMC-RRLYR-1688	RRab	15.448245	-72.765278	18.447	19.011	0.564	0.71796910	0.00000120	6000.38151	0.397	0.332	4.203	0.303	2.055	SMC_SC9_62090	SMC110.7.18312	SMC726.30.3348	-99.99	
OGLE-SMC-RRLYR-1689	RRc	15.452670	-72.310306	19.223	19.676	0.453	0.36822040	0.00000140	6000.22625	0.276	0.178	5.101	0.000	-99.99	SMC_SC9_82712	SMC113.8.23566	SMC725.06.23400	-99.99	
OGLE-SMC-RRLYR-1690	RRab	15.453795	-72.536778	18.780	19.310	0.530	0.75443010	0.00000270	6000.15429	0.338	0.480	4.660	0.299	3.117	SMC_SC9_73585	SMC110.5.1256	SMC726.30.29811	-99.99	
OGLE-SMC-RRLYR-1691	RRab	15.457620	-71.316500	19.062	19.616	0.554	0.60846410	0.00000270	6000.08290	0.407	0.377	4.350	0.273	2.309	-99.99	SMC114.5.919	SMC718.08.8298	-99.99	
OGLE-SMC-RRLYR-1692	RRab	15.511995	-72.842889	19.045	19.598	0.553	0.59329940	0.00000230	6000.36563	0.465	0.380	4.258	0.307	2.473	SMC_SC9_100836	SMC110.7.1388	SMC726.22.34974	-99.99	
OGLE-SMC-RRLYR-1693	RRab	15.523875	-73.905361	19.600	20.178	0.578	0.51083260	0.00000200	6000.07987	0.467	0.503	4.348	0.232	3.053	-99.99	SMC107.3.10744	SMC727.28.1628	-99.99	
OGLE-SMC-RRLYR-1694	RRab	15.549915	-73.954722	19.053	-99.99	-99.99	0.66349850	0.00000350	6000.55918	0.327	0.382	4.458	0.246	3.004	-99.99	SMC107.2.9117	SMC727.28.2062	-99.99	
OGLE-SMC-RRLYR-1695	RRd	15.550080	-72.686028	19.211	19.620	0.409	0.37455080	0.00000180	6000.29527	0.244	0.155	5.525	0.000	-99.99	SMC_SC9_110424	SMC110.6.1507	SMC726.30.4966	-99.99	
OGLE-SMC-RRLYR-1696	RRab	15.550455	-71.666861	19.143	19.648	0.505	0.56125730	0.00000100	6000.31516	0.574	0.398	4.142	0.341	2.298	-99.99	SMC114.7.2383	SMC725.23.11958	-99.99	
OGLE-SMC-RRLYR-1697	RRab	15.564120	-74.214556	19.580	-99.99	-99.99	0.42390600	0.00000190	6000.05576	0.588	0.367	4.099	0.188	2.285	-99.99	SMC107.1.7219	SMC727.20.5437	-99.99	
OGLE-SMC-RRLYR-1698	RRab	15.575745	-72.718056	19.082	-99.99	-99.99	0.58075010	0.00000490	6000.51220	0.534	0.391	4.127	0.301	2.208	SMC_SC9_108529	SMC110.6.1586	SMC726.29.2189D	-99.99	
OGLE-SMC-RRLYR-1699	RRab	15.582915	-73.752556	18.968	19.510	0.542	0.61873620	0.00000190	6000.19942	0.541	0.489	4.266	0.303	2.492	-99.99	SMC107.4.14503	SMC726.04.1411	-99.99	
OGLE-SMC-RRLYR-1700	RRab	15.583380	-72.695472	19.044	19.499	0.455	0.51283310	0.00000100	6000.03749	0.678	0.557	4.173	0.361	2.369	SMC_SC9_108699	SMC110.6.1604	SMC726.29.4550	-99.99	
OGLE-SMC-RRLYR-1701	RRc	15.586215	-72.631667	19.685	20.000	0.315	0.26124810	0.00000230	6000.10361	0.197	0.000	-99.99	0.000	-99.99	SMC_SC9_112389	SMC110.6.19363	SMC726.29.30483	-99.99	
OGLE-SMC-RRLYR-1702	RRab	15.593745	-71.572139	19.395	19.981	0.586	0.56050100	0.00000120	6000.02814	0.732	0.422	4.177	0.349	1.975	-99.99	SMC114.7.2499	SMC725.31.1311	-99.99	
OGLE-SMC-RRLYR-1703	RRd	15.596670	-71.551472	19.406	19.893	0.487	0.37011880	0.00000130	6000.01839	0.284	0.155	5.123	0.094	2.672	-99.99	SMC114.6.1555	SMC725.31.1415	-99.99	
OGLE-SMC-RRLYR-1704	RRd	15.608505	-73.220361	19.393	19.880	0.487	0.38729650	0.00000180	6000.07043	0.279	0.252	4.991	0.000	-99.99	-99.99	SMC111.6.16251	SMC726.12.25378	-99.99	
OGLE-SMC-RRLYR-1705	RRd	15.610995	-71.893917	19.393	20.032	0.639	0.37372180	0.00000200	6000.23237	0.249	0.174	4.867	0.118	3.843	-99.99	SMC113.5.21003	SMC725.23.2444	-99.99	
OGLE-SMC-RRLYR-1706	RRd	15.615090	-73.014861	19.237	19.751	0.514	0.37113830	0.00000170	6000.12104	0.246	0.229	5.209	0.000	-99.99	-99.99	SMC110.8.1625	SMC726.21.4205	-99.99	
OGLE-SMC-RRLYR-1707	RRab	15.619710	-74.070444	19.334	19.976	0.642	0.65365280	0.00000900	6000.03949	0.167	0.368	-99.99	0.000	-99.99	-99.99	SMC112.7.1870	SMC727.19.2557D	-99.99	
OGLE-SMC-RRLYR-1708	RRd	15.622500	-71.898500	19.583	20.233	0.650	0.36116930	0.00000280	6000.26802	0.260	0.149	4.392	0.000	-99.99	-99.99	SMC113.5.21027	SMC725.23.2394	-99.99	
OGLE-SMC-RRLYR-1709	RRab	15.625335	-73.062250	19.063	19.702	0.639	0.63458220	0.00000270	6000.37567	0.380	0.439	4.201	0.326	2.742	-99.99	SMC111.5.16714	SMC726.21.3441	-99.99	
OGLE-SMC-RRLYR-1710	RRc	15.629910	-72.359528	19.283	19.731	0.448	0.34628760	0.00000120	6000.09799	0.311	0.174	4.987	0.000	-99.99	SMC_SC9_125355	SMC113.8.29450	SMC725.06.25228	-99.99	
OGLE-SMC-RRLYR-1711	RRc	15.636915	-72.529806	19.121	19.564	0.443	0.34732710	0.00000090	6000.21580	0.348	0.164	4.754	0.098	3.129	SMC_SC9_117486	SMC110.5.1727	SMC726.29.29250	-99.99	
OGLE-SMC-RRLYR-1712	RRab	15.637590	-72.592972	19.147	19.713	0.566	0.55771770	0.00000260	6000.24439	0.442	0.390	4.215	0.160	2.142	SMC_SC9_114660	SMC110.6.19497	SMC726.29.28237	-99.99	
OGLE-SMC-RRLYR-1713	RRab	15.640620	-73.339361	18.998	19.565	0.567	0.66619210	0.00000200	6000.57430	0.516	0.486	4.409	0.374	2.919	-99.99	SMC111.7.15558	SMC726.12.3565	-99.99	
OGLE-SMC-RRLYR-1714	RRab	15.640665	-71.444944	19.285	19.781	0.496	0.53587170	0.00000080	6000.02819	0.721	0.442	4.113	0.337	2.099	-99.99	SMC114.6.1616	SMC725.31.1980	-99.99	
OGLE-SMC-RRLYR-1715	RRd	15.640785	-72.791417	19.232	19.651	0.419	0.36623260	0.00000120	6000.23798	0.271	0.230	4.788	0.000	-99.99	SMC_SC9_103645	SMC110.7.19481	SMC726.29.2999	-99.99	
OGLE-SMC-RRLYR-1716	RRab	15.641415	-73.793250	18.616	19.304	0.688	0.64824290	0.00000380	6000.25436	0.173	0.312	4.292	0.206	2.881	-99.99	SMC112.6.1070	SMC727.27.6770	-99.99	
OGLE-SMC-RRLYR-1717	RRab	15.642465	-71.430472	18.895	19.349	0.454	0.56398800	0.00000100	6000.19609	0.671	0.363	4.138	0.340	2.000	-99.99	SMC114.6.1618	SMC725.31.1273	-99.99	
OGLE-SMC-RRLYR-1718	RRab	15.642705	-74.169944	18.717	19.300	0.583	0.59833540	0.00000070	6000.31008	0.533	0.433	4.065	0.335	2.239	-99.99	SMC112.8.843	SMC727.19.4410	-99.99	
OGLE-SMC-RRLYR-1719	RRab	15.646125	-72.382139	19.355	20.040	0.685	0.60364360	0.00000260	6000.28324	0.482	0.452	4.238	0.318	2.212	SMC_SC9_122829	SMC113.8.30199	SMC725.06.7512	-99.99	
OGLE-SMC-RRLYR-1720	RRd	15.653040	-71.265278	18.996	19.447	0.451	0.36910660	0.00000120	6000.02143	0.255	0.205	4.908	0.101	3.075	-99.99	SMC114.5.1104	SMC724.07.487	-99.99	
OGLE-SMC-RRLYR-1721	RRab	15.667755	-73.783750	19.146	19.703	0.557	0.57139040	0.00000110	6000.44326	0.631	0.472	4.209	0.395	2.297	-99.99	SMC112.6.1111	SMC727.27.7767	-99.99	
OGLE-SMC-RRLYR-1722	RRab	15.669705	-73.038083	18.992	19.555	0.563	0.61704900	0.00000160	6000.31015	0.411	0.369	4.267	0.341	2.234	-99.99	SMC110.8.5358	SMC726.21.3836	-99.99	
OGLE-SMC-RRLYR-1723	RRd	15.672285	-71.972417	19.074	19.551	0.477	0.39657570	0.00000130	6000.14145	0.264	0.222	5.202	0.000	-99.99	-99.99	SMC113.5.4932	SMC725.14.22133	-99.99	
OGLE-SMC-RRLYR-1724	RRab	15.683250	-73.182361	19.076	19.514	0.438	0.55084790	0.00000160	6000.30109	0.488	0.357	4.234	0.259	1.978	-99.99	SMC111.6.16455	SMC726.12.25902	-99.99	
OGLE-SMC-RRLYR-1725	RRab	15.685755	-71.733056	19.150	19.723	0.573	0.60449910	0.00000120	6000.39553	0.657	0.438	4.222	0.343	2.161	-99.99	SMC114.8.16191	SMC725.23.11351	-99.99	
OGLE-SMC-RRLYR-1726	RRab	15.686130	-72.770583	19.200	19.731	0.531	0.54220380	0.00000070	6000.49771	0.781	0.450	4.205	0.369	2.098	SMC_SC9_147322	SMC110.7.23362	SMC726.29.3358	-99.99	
OGLE-SMC-RRLYR-1727	RRc	15.689625	-73.857028	19.562	19.966	0.404	0.28289500	0.00000120	6000.23159	0.282	0.000	-99.99	0.000	-99.99	-99.99	SMC112.6.2227	SMC727.27.7312	-99.99	
OGLE-SMC-RRLYR-1728	RRab	15.691245	-72.685361	19.234	19.771	0.537	0.56784590	0.00000130	6000.10250	0.666	0.507	4.168	0.405	2.359	SMC_SC9_150746	SMC110.6.5950	SMC726.29.8347	-99.99	
OGLE-SMC-RRLYR-1729	RRc	15.691665	-72.192500	19.322	19.763	0.441	0.29403510	0.00000090	6000.13131	0.246	0.175	4.738	0.000	-99.99	SMC_SC9_171887	SMC113.7.30677	SMC725.14.4772	-99.99	
OGLE-SMC-RRLYR-1730	RRab	15.696660	-72.874250	19.148	19.731	0.583	0.62169860	0.00000320	6000.27245	0.347	0.374	4.516	0.205	2.888	SMC_SC9_141905	SMC110.7.5799	SMC726.21.27500	-99.99	
OGLE-SMC-RRLYR-1731	RRab	15.704955	-72.626861	19.122	19.834	0.712	0.70860700	0.00000350	6000.26615	0.368	0.437	4.429	0.282	3.076	SMC_SC9_153294	SMC110.6.23604	SMC726.29.27631	-99.99	
OGLE-SMC-RRLYR-1732	RRab	15.705795	-73.300278	19.262	19.803	0.541	0.51973830	0.00000120	6000.17529	0.647	0.422	4.177	0.305	2.056	-99.99	SMC111.6.1488	SMC726.12.4143	-99.99	
OGLE-SMC-RRLYR-1733	RRab	15.707625	-72.699500	19.074	19.592	0.518	0.62033920	0.00000310	6000.24964	0.360	0.340	4.315	0.262	2.361	SMC_SC9_150208	SMC110.6.6004	SMC726.29.4488	-99.99	
OGLE-SMC-RRLYR-1734	RRc	15.708090	-72.163167	19.402	19.789	0.387	0.31638360	0.00000130	6000.00377	0.277	0.098	-99.99	0.000	-99.99	SMC_SC9_173914	SMC113.7.30742	SMC725.14.5299	-99.99	
OGLE-SMC-RRLYR-1735	RRab	15.711840	-71.925889	18.957	19.547	0.590	0.61906390	0.00000240	6000.38399	0.378	0.384	4.148	0.290	2.332	-99.99	SMC113.5.20687	SMC725.14.22651	-99.99	
OGLE-SMC-RRLYR-1736	RRd	15.719130	-73.320528	19.354	19.828	0.474	0.38542080	0.00000200	6000.12171	0.263	0.119	4.716	0.000	-99.99	-99.99	SMC111.6.1518	SMC726.12.3855	-99.99	
OGLE-SMC-RRLYR-1737	RRab	15.723045	-73.737139	19.289	19.749	0.460	0.51507550	0.00000070	6000.37136	0.714	0.544	4.324	0.362	2.614	-99.99	SMC112.5.2973	SMC726.04.2844	-99.99	
OGLE-SMC-RRLYR-1738	RRab	15.731460	-72.278833	18.829	19.386	0.557	0.59327620	0.00000260	6000.56870	0.376	0.370	4.239	0.205	2.161	SMC_SC9_168768	SMC113.7.7297	SMC725.06.23933	-99.99	
OGLE-SMC-RRLYR-1739	RRc	15.735960	-72.575361	19.025	19.570	0.545	0.44598500	0.00000430	6000.14105	0.230	0.000	-99.99	0.000	-99.99	SMC_SC9_156790	SMC110.5.5803	SMC726.29.28516	-99.99	
OGLE-SMC-RRLYR-1740	RRab	15.736170	-71.619417	19.175	19.769	0.594	0.59100210	0.00000130	6000.05921	0.602	0.466	4.195	0.384	2.352	-99.99	SMC114.7.14719	SMC725.23.12267	-99.99	
OGLE-SMC-RRLYR-1741	RRc	15.739965	-71.852611	19.506	19.857	0.351	0.23152060	0.00000100	6000.02286	0.177	0.243	4.427	0.000	-99.99	-99.99	SMC114.8.17698	SMC725.23.2956	-99.99	
OGLE-SMC-RRLYR-1742	RRab	15.744330	-73.132500	19.285	19.975	0.690	0.65466810	0.00000890	6000.33706	0.216	0.335	4.627	0.222	3.125	-99.99	SMC111.5.1618	SMC726.21.2432	-99.99	
OGLE-SMC-RRLYR-1743	RRab	15.753090	-71.879944	18.852	19.477	0.625	0.62412630	0.00000160	6000.37172	0.451	0.483	4.105	0.317	2.140	-99.99	SMC113.5.20766	SMC725.23.1196	-99.99	
OGLE-SMC-RRLYR-1744	RRab	15.754410	-72.869167	19.190	19.815	0.625	0.69348040	0.00000470	6000.46147	0.281	0.366	4.623	0.243	3.463	SMC_SC9_141941	SMC110.7.5956	SMC726.21.27584	-99.99	
OGLE-SMC-RRLYR-1745	RRd	15.754620	-72.486444	19.417	19.995	0.578	0.36455890	0.00000140	6000.11823	0.267	0.202	5.513	0.099	3.409	SMC_SC9_159840	SMC110.5.23212	SMC725.06.5474	-99.99	
OGLE-SMC-RRLYR-1746	RRab	15.758460	-72.370361	19.396	19.952	0.556	0.51468290	0.00000070	6000.33383	0.834	0.416	4.211	0.353	1.884	SMC_SC9_164200	SMC113.8.30631	SMC725.06.22511	-99.99	
OGLE-SMC-RRLYR-1747	RRab	15.762540	-72.983889	19.148	19.744	0.596	0.60371120	0.00000270	6000.25373	0.433	0.360	4.229	0.216	2.016	SMC_SC9_136889	SMC110.8.5565	SMC726.21.25852	-99.99	
OGLE-SMC-RRLYR-1748	RRab	15.765090	-71.798167	19.643	20.182	0.539	0.48004050	0.00000070	6000.13346	0.746	0.510	4.078	0.384	2.373	-99.99	SMC114.8.16453	SMC725.23.3476	-99.99	
OGLE-SMC-RRLYR-1749	RRc	15.774045	-71.820444	19.055	19.488	0.433	0.35354180	0.00000090	6000.19334	0.385	0.275	4.251	0.059	-99.99	-99.99	SMC114.8.16472	SMC725.23.3258	-99.99	
OGLE-SMC-RRLYR-1750	RRab	15.788745	-73.389500	19.170	19.716	0.546	0.57597150	0.00000090	6000.24017	0.686	0.466	4.138	0.350	2.291	-99.99	SMC111.7.19382	SMC726.12.2852	-99.99	
OGLE-SMC-RRLYR-1751	RRc	15.789585	-72.236583	19.692	20.070	0.378	0.27102100	0.00000120	6000.05298	0.260	0.000	-99.99	0.000	-99.99	SMC_SC9_171517	SMC113.7.13211	SMC725.06.27658	-99.99	
OGLE-SMC-RRLYR-1752	RRd	15.791505	-71.562833	19.086	19.546	0.460	0.36512730	0.00000110	6000.28359	0.273	0.195	5.067	0.000	-99.99	-99.99	SMC114.6.10162	SMC725.31.588	-99.99	
OGLE-SMC-RRLYR-1753	RRab	15.792705	-71.619444	19.145	19.655	0.510	0.56466950	0.00000090	6000.05385	0.637	0.444	4.180	0.380	2.249	-99.99	SMC114.7.14810	SMC725.23.12270	-99.99	
OGLE-SMC-RRLYR-1754	RRd	15.795915	-74.170972	19.022	19.555	0.533	0.40137360	0.00000150	6000.13665	0.276	0.226	5.180	0.000	-99.99	-99.99	SMC112.8.1049	SMC727.19.5057	-99.99	
OGLE-SMC-RRLYR-1755	RRab	15.804495	-71.777778	19.048	19.663	0.615	0.64885410	0.00000370	6000.24317	0.238	0.319	4.509	0.190	2.966	-99.99	SMC114.8.16540	SMC725.23.2152	-99.99	
OGLE-SMC-RRLYR-1756	RRc	15.806415	-73.124389	19.458	19.821	0.363	0.31693350	0.00000140	6000.30188	0.282	0.125	5.154	0.184	4.269	-99.99	SMC111.5.5631	SMC726.21.5020	-99.99	
OGLE-SMC-RRLYR-1757	RRab	15.807870	-73.403611	19.388	19.981	0.593	0.51716170	0.00000110	6000.37586	0.488	0.482	4.074	0.431	2.569	-99.99	SMC111.7.19419	SMC726.12.2665	-99.99	
OGLE-SMC-RRLYR-1758	RRab	15.809250	-74.221639	16.382	16.852	0.470	0.49778700	0.00000010	6000.14625	0.790	0.508	4.176	0.392	2.339	-99.99	SMC112.8.71	SMC727.19.140	HV11446	
OGLE-SMC-RRLYR-1759	RRab	15.809295	-73.421972	19.024	19.698	0.674	0.67943710	0.00000450	6000.14572	0.250	0.379	4.602	0.169	3.238	-99.99	SMC111.7.4318	SMC726.12.2427	-99.99	
OGLE-SMC-RRLYR-1760	RRab	15.813165	-73.771028	19.339	19.864	0.525	0.54305230	0.00000090	6000.36067	0.747	0.455	4.154	0.357	2.074	-99.99	SMC112.5.3320	SMC727.27.7852	-99.99	
OGLE-SMC-RRLYR-1761	RRab	15.815160	-71.379861	18.962	19.448	0.486	0.66098140	0.00000210	6000.39293	0.518	0.492	4.273	0.382	2.406	-99.99	SMC114.5.7309	SMC725.31.7280	-99.99	
OGLE-SMC-RRLYR-1762	RRd	15.818295	-72.804583	19.406	19.978	0.572	0.37053780	0.00000190	6000.36902	0.271	0.217	4.761	0.109	3.628	SMC_SC9_144679	SMC110.7.23697	SMC726.29.2766	-99.99	
OGLE-SMC-RRLYR-1763	RRab	15.830295	-71.501111	19.215	19.696	0.481	0.52136720	0.00000060	6000.13920	0.799	0.453	4.171	0.378	1.968	-99.99	SMC114.6.10218	SMC725.31.1710	-99.99	
