# Date:     2022-12-06 07:17:18
# Database: ocvs
# Target:   smc_t2cep
# Query:    TRUE 
# Objects:  53
# Columns:
# ID	Type	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	REMARKS
OGLE-SMC-T2CEP-27	BLHer	14.369295	-73.524111	18.454	19.125	0.671	1.5417059	0.0000053	7001.40617	0.306	0.000	-99.99	0.167	1.008	-99.99	SMC106.8.38983	SMC726.07.21239	-99.99	
OGLE-SMC-T2CEP-28	pWVir	14.382630	-73.536444	15.056	15.920	0.864	15.2606403	0.0005147	7008.77288	0.187	0.122	5.773	0.032	5.003	-99.99	SMC106.8.38374	SMC726.07.19605	-99.99	type II Cepheid in an eclipsing binary system (P_orb = 141.82 d)
OGLE-SMC-T2CEP-29	RVTau	14.408715	-72.303389	13.710	14.558	0.848	33.6492323	0.0020494	7029.71126	0.530	0.165	4.957	0.086	3.324	SMC_SC8_52799	SMC108.2.3	SMC719.18.27334	HV12140	type II Cepheid in an eclipsing binary system (P_orb = 608.04 d)
OGLE-SMC-T2CEP-30	BLHer	14.419875	-73.051361	16.838	17.325	0.487	3.3887063	0.0000099	7001.35277	0.248	0.168	5.288	0.101	3.495	SMC_SC8_3848	SMC106.5.51449	SMC726.24.771	-99.99	
OGLE-SMC-T2CEP-31	WVir	14.725620	-71.382444	16.936	17.821	0.885	7.9032041	0.0004429	7002.77181	0.037	0.000	-99.99	0.000	-99.99	-99.99	SMC109.4.174	SMC718.09.5503	-99.99	uncertain
OGLE-SMC-T2CEP-32	WVir	14.744715	-73.562694	16.196	16.901	0.705	14.1690664	0.0004357	7004.96116	0.643	0.235	6.068	0.087	4.446	-99.99	SMC106.1.13852	SMC726.06.18330	-99.99	
OGLE-SMC-T2CEP-33	BLHer	14.762835	-72.475611	17.553	18.131	0.578	1.8776906	0.0000024	7000.98892	0.513	0.462	4.819	0.222	3.266	SMC_SC8_148923	SMC105.4.24131	SMC719.17.1183	-99.99	
OGLE-SMC-T2CEP-34	RVTau	15.026790	-72.231028	15.776	-99.99	-99.99	20.1806043	0.0007331	7002.75243	0.811	0.094	0.783	0.048	2.897	SMC_SC8_209984	SMC108.2.46300	SMC725.07.22726	-99.99	
OGLE-SMC-T2CEP-35	WVir	15.145875	-73.782750	15.885	16.746	0.861	17.1820391	0.0002214	7003.50634	0.910	0.173	6.060	0.074	4.183	-99.99	SMC107.3.8878	SMC727.28.6615	HV1828	
OGLE-SMC-T2CEP-36	BLHer	15.670665	-73.167389	17.900	18.483	0.583	1.0916726	0.0000018	7000.66843	0.366	0.254	5.256	0.076	4.635	-99.99	SMC111.5.288	SMC726.12.24156	-99.99	
OGLE-SMC-T2CEP-37	BLHer	15.943710	-74.124667	17.970	18.628	0.658	1.5591042	0.0000035	7000.93185	0.486	0.237	4.807	0.091	0.717	-99.99	SMC112.8.567	SMC727.19.4075	-99.99	
OGLE-SMC-T2CEP-38	pWVir	16.120830	-73.564889	16.203	16.660	0.457	4.4441916	0.0000290	7003.66624	0.238	0.171	5.155	0.110	3.541	-99.99	SMC111.8.5979	SMC726.03.11651	-99.99	
OGLE-SMC-T2CEP-39	BLHer	16.670505	-73.118028	17.810	18.541	0.731	1.8875555	0.0000135	7001.49659	0.133	0.154	5.127	0.000	-99.99	SMC_SC11_100	SMC111.4.165	SMC726.19.751	-99.99	
OGLE-SMC-T2CEP-40	WVir	17.195250	-71.852611	16.045	16.934	0.889	16.1212187	0.0002937	7007.11059	0.861	0.052	0.447	0.058	2.896	-99.99	SMC119.8.119	SMC725.20.113	-99.99	
OGLE-SMC-T2CEP-41	RVTau	18.329415	-73.302167	15.339	16.282	0.943	29.1420890	0.0072527	7005.68475	0.196	0.057	3.953	0.058	0.089	-99.99	SMC116.6.11058	SMC733.31.36	-99.99	
OGLE-SMC-T2CEP-42	BLHer	20.861160	-72.006750	18.212	18.901	0.689	1.4875131	0.0000025	7000.56630	0.547	0.235	4.701	0.087	0.424	-99.99	SMC123.3.2298	SMC732.27.2220	-99.99	
OGLE-SMC-T2CEP-43	RVTau	20.971080	-72.279417	15.377	16.348	0.971	23.7636543	0.0011181	7008.97268	0.841	0.110	5.910	0.024	4.650	-99.99	SMC123.2.2021	SMC732.19.2507	-99.99	
OGLE-SMC-T2CEP-44	RVTau	1.827255	-74.475972	15.560	16.365	0.805	22.1438674	0.0004266	7019.32296	1.025	0.235	5.942	0.091	4.752	-99.99	-99.99	SMC709.30.1200	XY Hyi	
OGLE-SMC-T2CEP-45	BLHer	9.559380	-71.673250	18.114	18.644	0.530	1.4257740	0.0000027	7001.33316	0.473	0.216	4.164	0.033	5.018	-99.99	-99.99	SMC712.21.2933	-99.99	
OGLE-SMC-T2CEP-46	WVir	10.088955	-71.479944	16.243	17.168	0.925	15.0714151	0.0002976	7000.33835	0.831	0.062	0.699	0.072	2.805	-99.99	-99.99	SMC712.28.52	HV12901	
OGLE-SMC-T2CEP-47	WVir	10.833540	-72.424833	16.680	17.578	0.898	10.5347314	0.0001731	7008.96716	0.357	0.121	1.324	0.064	2.147	-99.99	-99.99	SMC719.25.205	-99.99	
OGLE-SMC-T2CEP-48	WVir	12.745590	-70.414528	15.858	16.611	0.753	14.3889323	0.0000952	7008.39681	0.873	0.259	6.182	0.090	3.440	-99.99	-99.99	SMC717.07.1234	-99.99	
OGLE-SMC-T2CEP-49	WVir	12.953745	-75.199500	15.973	16.826	0.853	15.4603019	0.0001984	7015.03576	0.885	0.167	0.008	0.070	3.776	-99.99	-99.99	SMC728.30.29	-99.99	
OGLE-SMC-T2CEP-50	WVir	15.434340	-75.017250	17.464	18.348	0.884	4.2276184	0.0000368	7001.52773	0.299	0.224	5.577	0.055	5.263	-99.99	-99.99	SMC728.26.2202	-99.99	
OGLE-SMC-T2CEP-51	BLHer	16.542795	-71.079444	18.708	19.343	0.635	1.0657695	0.0000036	7000.11577	0.288	0.250	5.268	0.000	-99.99	-99.99	-99.99	SMC724.05.4863	-99.99	
OGLE-SMC-T2CEP-52	BLHer	17.416665	-70.477722	18.147	18.784	0.637	1.7462510	0.0000025	7000.80591	0.444	0.165	5.389	0.156	2.602	-99.99	-99.99	SMC724.20.1827	-99.99	
OGLE-SMC-T2CEP-53	WVir	18.210540	-74.588444	16.307	17.277	0.970	14.9126217	0.0005493	7013.31086	0.631	0.071	2.067	0.057	2.617	-99.99	-99.99	SMC734.29.33	-99.99	
OGLE-SMC-T2CEP-54	BLHer	19.796085	-75.067194	17.891	18.540	0.649	1.8423249	0.0000029	7000.66340	0.699	0.421	4.720	0.230	2.140	-99.99	-99.99	SMC734.09.1340	-99.99	
